City ID,City Name,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1507390,Dikson,RU,73.5069,80.5464,50.95,86,0,2.8
5848280,Kapaa,US,22.0752,-159.319,80.22,75,40,4.0
5855927,Hilo,US,19.7297,-155.09,76.19,81,90,3.44
3366880,Hermanus,ZA,-34.4187,19.2345,53.8,89,1,9.66
1006984,East London,ZA,-33.0153,27.9116,66.36,85,80,2.55
4030556,Rikitea,PF,-23.1203,-134.9692,74.08,74,13,17.16
486186,Suoyarvi,RU,62.0833,32.35,55.31,70,85,3.0
1649150,Bengkulu,ID,-3.8004,102.2655,75.65,89,99,3.42
3860443,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,28,0,20.71
2264557,Ponta do Sol,PT,32.6667,-17.1,74.84,83,27,0.65
4676740,Brownsville,US,25.9018,-97.4975,92.61,59,20,1.99
4020109,Atuona,PF,-9.8,-139.0333,76.75,79,38,14.14
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,71.46,78,40,10.36
3445026,Vila Velha,BR,-20.3297,-40.2925,73.27,73,75,8.05
5106841,Albany,US,42.6001,-73.9662,77.94,58,52,3.69
3874787,Punta Arenas,CL,-53.15,-70.9167,46.33,61,75,14.97
3355672,Lüderitz,NA,-26.6481,15.1594,57.07,77,35,1.48
1519275,Shar,KZ,49.5886,81.0453,68.09,52,98,6.42
326036,Yabēlo,ET,4.8833,38.0833,63.16,56,92,10.78
1563241,Thanh Pho Uong Bi,VN,21.0333,106.7833,87.78,84,100,2.89
2035601,Mergen,CN,49.1833,125.2167,58.87,93,14,3.83
3466165,Cidreira,BR,-30.1811,-50.2056,62.33,87,92,13.85
6185377,Yellowknife,CA,62.456,-114.3525,60.96,63,75,5.75
2090021,Namatanai,PG,-3.6667,152.4333,77.99,86,100,7.85
3382160,Cayenne,GF,4.9333,-52.3333,85.08,73,40,4.0
1282256,Hithadhoo,MV,-0.6,73.0833,80.78,78,100,7.61
3578278,Vieux-Habitants,GP,16.0589,-61.7659,87.37,70,20,11.59
3406910,Bacabal,BR,-4.2917,-44.7917,95.4,23,4,5.21
230256,Kyotera,UG,-0.6156,31.5175,69.84,69,73,3.04
2075265,Busselton,AU,-33.65,115.3333,39.09,82,0,6.42
2112444,Kamaishi,JP,39.2667,141.8833,76.35,92,3,5.77
3883457,Lebu,CL,-37.6167,-73.65,55.89,72,100,13.38
2276492,Harper,LR,4.375,-7.7169,76.39,81,90,9.57
3448455,São Miguel do Araguaia,BR,-13.275,-50.1628,93.04,18,55,5.68
1015776,Bredasdorp,ZA,-34.5322,20.0403,52.92,94,46,3.44
2022572,Khatanga,RU,71.9667,102.5,57.16,44,30,9.6
2610343,Vestmanna,FO,62.1564,-7.1664,52.72,100,90,8.05
1733782,Labuan,MY,5.2767,115.2417,79.16,89,20,0.0
3466704,Castro,BR,-24.7911,-50.0119,61.61,63,100,7.83
5870133,Nome,US,64.5011,-165.4064,55.47,76,1,19.57
3984997,San Quintín,MX,30.4833,-115.95,74.07,71,7,12.01
3580733,Bodden Town,KY,19.2833,-81.25,87.98,69,20,9.22
2335204,Kano,NG,12.0001,8.5167,80.49,74,20,9.22
3412093,Vestmannaeyjar,IS,63.4427,-20.2734,56.84,77,26,5.88
2629833,Husavik,IS,66.0449,-17.3389,57.11,81,67,7.47
3691582,Talara,PE,-4.5772,-81.2719,75.96,64,0,16.11
4336153,Opelousas,US,30.5335,-92.0815,88.18,48,40,4.61
2017155,Saskylakh,RU,71.9167,114.0833,47.98,71,12,7.49
4470244,Havelock,US,34.8791,-76.9013,80.01,81,75,4.0
2015306,Tiksi,RU,71.6872,128.8694,41.13,87,100,8.68
1273909,Churāchāndpur,IN,24.3333,93.6667,67.93,97,70,2.37
895953,Zambezi,ZM,-13.5432,23.1047,61.59,22,0,5.3
2137748,Voh,NC,-20.9667,164.7,65.07,74,100,6.35
3347019,Mossamedes,AO,-15.1961,12.1522,69.21,78,0,5.55
2021031,Kyren,RU,51.6828,102.1408,59.25,92,63,2.01
1651810,Airai,TL,-8.9266,125.4092,54.46,69,98,3.76
2349431,Sabla,NG,12.7525,4.7077,82.27,67,97,10.92
1622318,Waingapu,ID,-9.6567,120.2641,75.97,87,55,10.65
6201424,Mataura,NZ,-46.1927,168.8643,37.47,98,13,2.28
4032243,Vaini,TO,-21.2,-175.2,64.56,88,75,4.61
2012530,Zhigansk,RU,66.7697,123.3711,52.09,49,0,6.13
3457598,Martinho Campos,BR,-19.3317,-45.2369,78.42,29,100,7.11
4146934,Bayshore Gardens,US,27.4253,-82.5904,84.47,62,1,11.5
3833367,Ushuaia,AR,-54.8,-68.3,42.46,75,75,33.38
3369157,Cape Town,ZA,-33.9258,18.4232,57.18,87,0,1.99
654363,Kankaanpää,FI,61.8,22.4167,59.76,63,30,4.09
4910543,Sandwich,US,41.6459,-88.6217,83.05,47,1,11.5
3652764,Puerto Ayora,EC,-0.7393,-90.3518,72.55,86,98,5.01
2447513,Arlit,NE,18.7369,7.3853,97.32,26,32,3.62
669545,Prundu,RO,44.0947,26.2269,87.78,37,92,20.04
2222230,Sangmélima,CM,2.9333,11.9833,67.8,98,99,2.93
5866583,Saint Paul Harbor,US,57.79,-152.4072,60.31,77,90,0.0
934322,Mahébourg,MU,-20.4081,57.7,70.09,68,40,11.5
6089245,Norman Wells,CA,65.282,-126.8329,62.64,67,75,11.5
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,81.32,28,10,6.91
